Namespace(ARCHI='RC_CNN', GPU=1)
class is ['01_palm', '02_l', '03_fist', '04_fist_moved', '05_thumb', '06_index', '07_ok', '08_palm_moved', '09_c', '10_down']
{'1111': 8.0, '1110': 5.0, '0111': 6.58, '0001': 3.89, '0010': 2.49, '0100': 2.09, '1000': 1.2, '1001': 4.7, '0011': 5.3, '1100': 3.2, '0110': 3.9, '1010': 3.43, '0101': 4.75, '1011': 5.601, '1101': 5.4, '0000': 0.0}
Number of samples in spiking_train_ds: 20000
Number of samples in spiking_test_ds: 20000
CustomModel(
  (conv1): Conv2d(1, 16, kernel_size=(3, 3), stride=(1, 1))
  (conv2): Conv2d(16, 32, kernel_size=(3, 3), stride=(2, 2))
  (conv3): Conv2d(32, 32, kernel_size=(3, 3), stride=(2, 2))
  (fc1): Linear(in_features=1152, out_features=128, bias=True)
  (fc2): Linear(in_features=128, out_features=10, bias=True)
)
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
├─Conv2d: 1-1                            160
├─Conv2d: 1-2                            4,640
├─Conv2d: 1-3                            9,248
├─Linear: 1-4                            147,584
├─Linear: 1-5                            1,290
=================================================================
Total params: 162,922
Trainable params: 162,922
Non-trainable params: 0
=================================================================
Epoch 1, loss: 2.0195161980181076, train acc: 44.435%, test loss: 1.8628505624521274, test acc: 60.025%
Epoch 2, loss: 1.7974946331292296, train acc: 67.18%, test loss: 1.669727282783094, test acc: 79.6%
Epoch 3, loss: 1.698850704458194, train acc: 76.895%, test loss: 1.6149707853603668, test acc: 85.27%
Epoch 4, loss: 1.64125876876112, train acc: 82.605%, test loss: 1.5765608015913553, test acc: 89.055%
Epoch 5, loss: 1.6124584937628847, train acc: 85.305%, test loss: 1.5787778757631588, test acc: 88.785%
Epoch 6, loss: 1.5945768238256535, train acc: 86.95%, test loss: 1.5615596367528264, test acc: 90.33%
Epoch 7, loss: 1.5731949931897296, train acc: 89.05%, test loss: 1.5290079669068797, test acc: 93.46%
Epoch 8, loss: 1.5643057411851975, train acc: 90.005%, test loss: 1.5248630911397476, test acc: 93.8%
Epoch 9, loss: 1.552811798957971, train acc: 91.05%, test loss: 1.5230756110657517, test acc: 94.02%
Epoch 10, loss: 1.5497313977811282, train acc: 91.395%, test loss: 1.5227827096518618, test acc: 94.06%
Epoch 11, loss: 1.5422552180366393, train acc: 92.095%, test loss: 1.5250804481414941, test acc: 93.705%
Epoch 12, loss: 1.5422433607113628, train acc: 92.035%, test loss: 1.5189004995571538, test acc: 94.38%
Epoch 13, loss: 1.5374151235952165, train acc: 92.555%, test loss: 1.5189755922689225, test acc: 94.285%
Epoch 14, loss: 1.5370429003962314, train acc: 92.545%, test loss: 1.5104274711669825, test acc: 95.1%
Epoch 15, loss: 1.5312571049498294, train acc: 93.075%, test loss: 1.509525596524199, test acc: 95.18%
Epoch 16, loss: 1.5282880806694397, train acc: 93.45%, test loss: 1.5246409478659828, test acc: 93.715%
Epoch 17, loss: 1.5286748546380966, train acc: 93.4%, test loss: 1.5204211484890777, test acc: 94.095%
Epoch 18, loss: 1.5276913105870207, train acc: 93.385%, test loss: 1.5174611010871375, test acc: 94.47%
Epoch 19, loss: 1.521456774812156, train acc: 94.04%, test loss: 1.507512765951431, test acc: 95.445%
Epoch 20, loss: 1.522203306801403, train acc: 93.95%, test loss: 1.5085557162190397, test acc: 95.31%
Epoch 21, loss: 1.5179786655468681, train acc: 94.365%, test loss: 1.5092310425572502, test acc: 95.215%
Epoch 22, loss: 1.5182161434009052, train acc: 94.345%, test loss: 1.5046054166726792, test acc: 95.67%
